item_id,subsystem,component,quantity_basis,authority,notes
BOM-001,key_action,key levers,estimate_pending_measurement,pending_measurement,"Touch mechanism; count geometry leverage and return method are not released."
BOM-002,key_action,balance and guide hardware,estimate_pending_measurement,pending_measurement,"Guide and pivot concept only; measurements required before fabrication."
BOM-003,tangents,brass tangents,estimate_pending_measurement,pending_measurement,"Contact/excitation surfaces; face angle polish and adjustment require bench tests."
BOM-004,stringing,string courses,estimate_pending_measurement,pending_measurement,"String count material gauges and tuning are not specified."
BOM-005,stringing,tuning pins and hitch pins,estimate_pending_measurement,pending_measurement,"Pin fields require layout and load review before authority."
BOM-006,damping,damping cloth or felt,estimate_pending_measurement,pending_measurement,"Damping material and position must be tested with tangent contact."
BOM-007,structure,case and soundboard structure,estimate_pending_measurement,pending_measurement,"Case geometry bracing and bridge layout are concept only."
BOM-008,bridges,bridge and nut surfaces,estimate_pending_measurement,pending_measurement,"Speaking-length boundaries pending measured layout."
BOM-009,layout,fret/listing decision aids,estimate_pending_measurement,concept_only,"Future note-conflict and string-sharing study; not a released layout."
BOM-010,documentation,measurement log,estimate_pending_measurement,concept_only,"Future log for tangent contact bebung dynamics damping and layout branch tests."
BOM-011,validation,one-key tangent action coupon,estimate_pending_measurement,pending_measurement,"First physical test class before any full keyboard or case layout."
BOM-012,service,tangent adjustment and key-removal access,estimate_pending_measurement,pending_measurement,"Service approach must be proven on coupon hardware."
BOM-013,safety,string load and pinch point review,estimate_pending_measurement,pending_measurement,"Needed before promoting any action or case geometry."
